ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3532843,NOVA CANAÃ PAULISTA,SP,Sudeste,0.715,0.675,0.806,0.673,73.33,526.58,0.34,2091,-20.386,-50.949
2010,3532868,NOVA CASTILHO,SP,Sudeste,0.756,0.755,0.823,0.694,74.38,600.13,0.36,1125,-20.763,-50.343
2010,3532900,NOVA EUROPA,SP,Sudeste,0.765,0.718,0.869,0.718,77.11,697.32,0.39,9295,-21.778,-48.561
2010,3533007,NOVA GRANADA,SP,Sudeste,0.739,0.68,0.818,0.727,74.05,737.29,0.44,19097,-20.534,-49.314
2010,3533106,NOVA GUATAPORANGA,SP,Sudeste,0.726,0.644,0.842,0.707,75.52,652.36,0.41,2169,-21.334,-51.644
2010,3533205,NOVA INDEPENDÊNCIA,SP,Sudeste,0.735,0.711,0.827,0.675,74.63,533.68,0.36,2962,-21.104,-51.49
2010,3533254,NOVAIS,SP,Sudeste,0.719,0.634,0.822,0.712,74.32,671.15,0.45,4587,-20.992,-48.919
2010,3533304,NOVA LUZITÂNIA,SP,Sudeste,0.743,0.719,0.808,0.705,73.49,643.07,0.35,3431,-20.856,-50.262
2010,3533403,NOVA ODESSA,SP,Sudeste,0.791,0.762,0.861,0.755,76.68,878.14,0.41,50978,-22.778,-47.296
2010,3533502,NOVO HORIZONTE,SP,Sudeste,0.753,0.665,0.865,0.741,76.92,806.75,0.45,36479,-21.468,-49.221
2010,3533601,NUPORANGA,SP,Sudeste,0.746,0.656,0.866,0.73,76.94,751.92,0.45,6783,-20.73,-47.749
2010,3533700,OCAUÇU,SP,Sudeste,0.717,0.653,0.83,0.679,74.81,547.66,0.39,4130,-22.439,-49.923
2010,3533809,ÓLEO,SP,Sudeste,0.73,0.637,0.858,0.713,76.46,676.94,0.43,2673,-22.941,-49.342
2010,3533908,OLÍMPIA,SP,Sudeste,0.773,0.724,0.867,0.737,77.02,783.14,0.43,49865,-20.737,-48.915
2010,3534005,ONDA VERDE,SP,Sudeste,0.738,0.671,0.863,0.693,76.78,597.67,0.34,3853,-20.614,-49.299
2010,3534104,ORIENTE,SP,Sudeste,0.77,0.761,0.837,0.717,75.22,694.16,0.44,6085,-22.153,-50.091
2010,3534203,ORINDIÚVA,SP,Sudeste,0.767,0.762,0.824,0.719,74.42,699.63,0.38,5643,-20.182,-49.351
2010,3534302,ORLÂNDIA,SP,Sudeste,0.78,0.703,0.882,0.765,77.89,934.54,0.5,39610,-20.72,-47.887
